source_repo	source_path	dest_path	source_commit	source_sha256	sanctioned_adapt	adapted_now
CH	docs/adr-evidence/seen-red/review-fixpoint/red.txt	seen-red/review-fixpoint/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	0b00bcafb7e3b4add2d1b166ab9d052a2cf6a2bfbb4b4dacc136194fdf76ae21	0	no
CH	docs/adr-evidence/foreclosure-waiver-requests.md	judgment/rulings/foreclosure-waiver-requests.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	0298733ec5d9004c5ac42fe4c9a4ebb14125ba304cbf0595094aa7ba869ee731	0	no
CH	docs/design-notes/deductive-engine-fable-main-shape.md	design/deductive-engine-fable-main-shape.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	99c73b0021ec65496208648103895832d4d91ceea00e318afc7062ecd547be7c	0	no
CH	docs/design-notes/human-side-fragility.md	design/human-side-fragility.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	11abee343e1d7b6307a285cd7e65eb374f76d2df106d0a23221aae25f4809cec	0	no
CH	docs/design-notes/never-again-mechanism-fable-consult.md	design/never-again-mechanism-fable-consult.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	38996bc35faefeb43d8a9ac1afab37f27b1d18ca83a1c3c2692ec3aabc7181bd	0	no
CH	docs/design-notes/never-again-mechanism-fable-main.md	design/never-again-mechanism-fable-main.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	7a58f77f02be96c532285a39aa83727f802fb34741bfd12d01e78a1d645e3505	0	no
CH	docs/design-notes/never-again-synthesis.md	design/never-again-synthesis.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	6bbcaa20b2134911336d2ca9e0813ae623edd3e9ba88d9b7ed020dd3610a80f0	0	no
CH	docs/design-notes/policy-authoring-seam.md	design/policy-authoring-seam.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	67a9ea52b942250071fc265f7744cdd671f6bf5ee45284421cc600f342d08415	0	no
CH	docs/design-notes/review-fixpoint-protocol.md	design/review-fixpoint-protocol.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	2c28fcc50bf7167d150690da37d6269fac9eb34d05810de44ba3642ab67a832d	0	no
CH	docs/research/2026-06-27-foundational-map/00-synthesis.md	research/foundational-map/00-synthesis.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	db150257d08d474a04808222c52aed796637008d5481c06a3de3998f6a92fb62	0	no
CH	docs/research/2026-06-27-foundational-map/01-choco-adr-0011-mechanization.md	research/foundational-map/01-choco-adr-0011-mechanization.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	cfd9860babfa4c4710b824432740ce7a83672a080e18198789da406307300f12	0	no
CH	docs/research/2026-06-27-foundational-map/02-omega-adr-0011-mechanization-discipline.md	research/foundational-map/02-omega-adr-0011-mechanization-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	5a3aa55a2415a3ba9cb5d924279ccbf6b7f3afa70b1f07084ff890bc377e96b5	0	no
CH	docs/research/2026-06-27-foundational-map/03-choco-typing-classification-logic.md	research/foundational-map/03-choco-typing-classification-logic.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	6e77500a09f188b1ce4c6ffb3b255a7f8bf47229d5cf6af3f66eb2375956ddcd	0	no
